Year,Materials Science,Chemistry,Physics
2018,438,1189,708
2017,208,540,340
2016,99,341,186
2015,72,272,119
2014,41,161,67
2013,26,163,53
2012,18,122,35
2011,16,122,31
2010,14,100,20
2009,27,99,23
2008,10,65,17
2007,13,58,14
2006,20,65,19
2005,10,50,20
2004,6,46,6
2003,6,38,1
2002,0,31,8
2001,3,24,3
2000,4,21,1
